"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall døgnopphold";"Antall kontakter i poliklinikk";"Antall dagbehandlinger";"FLAGG"
"2017";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"65730";"0";"0";"0";"129537";"0";""
"2017";"hele året";"Somatikk (SOM)";"Alle aktører";"Landet";"2481229";"594823";"3962525";"926500";"8267310";"647083";""
"2017";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1404250";"327674";"2128218";"511529";"4755895";"387663";""
"2017";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Vest";"508546";"127897";"823238";"197831";"1623996";"109401";""
"2017";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"342785";"81471";"576173";"125986";"1211862";"71591";""
"2017";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Nord";"230384";"58104";"434896";"91154";"675557";"78428";""
"2018";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1101209";"239265";"1344299";"314821";"2042769";"224480";""
"2018";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"597010";"131151";"728703";"173139";"1101286";"130898";""
"2018";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"228860";"51109";"274832";"66973";"419103";"38951";""
"2018";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"162073";"33313";"195127";"43560";"323481";"27051";""
"2018";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"113608";"23736";"145637";"31149";"198899";"27580";""
"2018";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Landet";"535658";"0";"0";"0";"909434";"0";""
"2018";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"336765";"0";"0";"0";"589175";"0";""
"2018";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"106316";"0";"0";"0";"170510";"0";""
"2018";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"61494";"0";"0";"0";"101552";"0";""
"2018";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"31142";"0";"0";"0";"48197";"0";""
"2018";"januar-april";"Somatikk (SOM)";"Alle aktører";"Landet";"1462559";"239265";"1344299";"314821";"2952203";"224480";""
"2018";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"828834";"131151";"728703";"173139";"1690461";"130898";""
"2018";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Vest";"299145";"51109";"274832";"66973";"589613";"38951";""
"2018";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"201558";"33313";"195127";"43560";"425033";"27051";""
"2018";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Nord";"133490";"23736";"145637";"31149";"247096";"27580";""
"2018";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1587252";"420147";"2600691";"611436";"3856185";"426950";""
"2018";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"865201";"232050";"1406024";"337966";"2092321";"247877";""
"2018";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"330841";"89548";"533473";"129543";"790598";"73058";""
"2018";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"229809";"57540";"376681";"83509";"604767";"53166";""
"2018";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"162939";"41164";"284513";"60418";"368499";"52849";""
"2018";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Landet";"814762";"0";"0";"0";"1636866";"0";""
"2018";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"509091";"0";"0";"0";"1058771";"0";""
"2018";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"161500";"0";"0";"0";"306612";"0";""
"2018";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"94734";"0";"0";"0";"183527";"0";""
"2018";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"49714";"0";"0";"0";"87956";"0";""
"2018";"januar-august";"Somatikk (SOM)";"Alle aktører";"Landet";"2047924";"420147";"2600691";"611436";"5493051";"426950";""
"2018";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1161627";"232050";"1406024";"337966";"3151092";"247877";""
