"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall døgnopphold";"Antall kontakter i poliklinikk";"Antall dagbehandlinger";"FLAGG"
"2021";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1620182";"398538";"2350257";"576707";"4113888";"461918";""
"2021";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"880620";"217338";"1270342";"314101";"2215615";"261279";""
"2021";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"339306";"85258";"477417";"123298";"856251";"79567";""
"2021";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"239619";"57169";"343505";"82166";"654282";"68580";""
"2021";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"162502";"38901";"258993";"57142";"387740";"52492";""
"2021";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Landet";"810570";"0";"0";"0";"1612189";"0";""
"2021";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"508557";"0";"0";"0";"1038130";"0";""
"2021";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"158228";"0";"0";"0";"300756";"0";""
"2021";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"100048";"0";"0";"0";"192886";"0";""
"2021";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"44124";"0";"0";"0";"80417";"0";""
"2021";"januar-august";"Somatikk (SOM)";"Alle aktører";"Landet";"2068768";"398538";"2350257";"576707";"5726077";"461918";""
"2021";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1170504";"217338";"1270342";"314101";"3253745";"261279";""
"2021";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Vest";"424310";"85258";"477417";"123298";"1157007";"79567";""
"2021";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"291258";"57169";"343505";"82166";"847168";"68580";""
"2021";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Nord";"185134";"38901";"258993";"57142";"468157";"52492";""
"2021";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"2032878";"568749";"3655588";"884165";"6328490";"719327";""
"2021";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"1109388";"310982";"1977122";"482023";"3407885";"407112";""
"2021";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"425324";"121427";"738957";"188648";"1315250";"122941";""
"2021";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"299380";"81361";"536897";"125962";"1006845";"109431";""
"2021";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"203219";"55320";"402612";"87532";"598510";"79843";""
"2021";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Landet";"1083775";"0";"0";"0";"2530356";"0";""
"2021";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"679881";"0";"0";"0";"1637741";"0";""
"2021";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"210452";"0";"0";"0";"468091";"0";""
"2021";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"133841";"0";"0";"0";"298438";"0";""
"2021";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"60494";"0";"0";"0";"126086";"0";""
"2021";"hele året";"Somatikk (SOM)";"Alle aktører";"Landet";"2548637";"568749";"3655588";"884165";"8858846";"719327";""
"2021";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1445774";"310982";"1977122";"482023";"5045626";"407112";""
"2021";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Vest";"521556";"121427";"738957";"188648";"1783341";"122941";""
"2021";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"358100";"81361";"536897";"125962";"1305283";"109431";""
"2021";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Nord";"229006";"55320";"402612";"87532";"724596";"79843";""
"2022";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1153574";"223868";"1207776";"294511";"2177848";"251371";""
"2022";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"631243";"122806";"654370";"161519";"1182198";"142709";""
"2022";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"236294";"47353";"241116";"62306";"447283";"40895";""
"2022";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"169567";"31897";"177987";"41888";"339474";"39617";""
"2022";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"116797";"21837";"134303";"28798";"208893";"28150";""
"2022";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Landet";"531437";"0";"0";"0";"876353";"0";""
"2022";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"339294";"0";"0";"0";"570317";"0";""
"2022";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"100420";"0";"0";"0";"159452";"0";""
"2022";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"62264";"0";"0";"0";"98451";"0";""
"2022";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"29518";"0";"0";"0";"48133";"0";""
"2022";"januar-april";"Somatikk (SOM)";"Alle aktører";"Landet";"1504822";"223868";"1207776";"294511";"3054201";"251371";""
"2022";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"859871";"122806";"654370";"161519";"1752515";"142709";""
"2022";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Vest";"301813";"47353";"241116";"62306";"606735";"40895";""
"2022";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"208340";"31897";"177987";"41888";"437925";"39617";""
"2022";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Nord";"135226";"21837";"134303";"28798";"257026";"28150";""
"2022";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1661831";"405783";"2439038";"591938";"4162758";"483929";""
"2022";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"911691";"223484";"1322384";"325231";"2259497";"276433";""
"2022";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"342930";"85861";"492715";"125259";"852396";"79273";""
"2022";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"241023";"57520";"359426";"83945";"650094";"74415";""
"2022";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"168044";"39050";"264513";"57503";"400771";"53808";""
"2022";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Landet";"816174";"0";"0";"0";"1600917";"0";""
"2022";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"517287";"0";"0";"0";"1043272";"0";""
"2022";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"155416";"0";"0";"0";"289824";"0";""
"2022";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"96289";"0";"0";"0";"180035";"0";""
"2022";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"47498";"0";"0";"0";"87786";"0";""
"2022";"januar-august";"Somatikk (SOM)";"Alle aktører";"Landet";"2109856";"405783";"2439038";"591938";"5763675";"483929";""
"2022";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1203414";"223484";"1322384";"325231";"3302769";"276433";""
"2022";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Vest";"426758";"85861";"492715";"125259";"1142220";"79273";""
"2022";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"290069";"57520";"359426";"83945";"830129";"74415";""
"2022";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Nord";"191989";"39050";"264513";"57503";"488557";"53808";""
"2022";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"2085942";"576944";"3748851";"904491";"6444625";"748356";""
"2022";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"1146848";"318752";"2038553";"498270";"3490317";"431306";""
"2022";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"433802";"122070";"755420";"191348";"1330225";"123768";""
"2022";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"300757";"81009";"550341";"126923";"1003603";"111171";""
"2022";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"209121";"55455";"404537";"87950";"620480";"82111";""
"2022";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Landet";"1093766";"0";"0";"0";"2509260";"0";""
"2022";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"689730";"0";"0";"0";"1634291";"0";""
"2022";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"210202";"0";"0";"0";"456233";"0";""
"2022";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"129826";"0";"0";"0";"282696";"0";""
"2022";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"64775";"0";"0";"0";"136040";"0";""
"2022";"hele året";"Somatikk (SOM)";"Alle aktører";"Landet";"2601714";"576944";"3748851";"904491";"8953885";"748356";""
"2022";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1484174";"318752";"2038553";"498270";"5124608";"431306";""
"2022";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Vest";"530399";"122070";"755420";"191348";"1786458";"123768";""
"2022";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"356713";"81009";"550341";"126923";"1286299";"111171";""
"2022";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Nord";"236208";"55455";"404537";"87950";"756520";"82111";""
"2023";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1202896";"230917";"1258898";"303886";"2323580";"258986";""
"2023";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"653258";"127941";"695684";"168741";"1248326";"148925";""
"2023";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"250796";"48382";"247393";"63809";"487289";"42913";""
"2023";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"177279";"32086";"182593";"41937";"365359";"38128";""
"2023";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"121966";"22556";"133228";"29399";"222606";"29020";""
"2023";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Landet";"559829";"0";"0";"0";"918428";"0";""
"2023";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"358667";"0";"0";"0";"598677";"0";""
"2023";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"104047";"0";"0";"0";"161742";"0";""
"2023";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"66789";"0";"0";"0";"108540";"0";""
"2023";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"30376";"0";"0";"0";"49469";"0";""
"2023";"januar-april";"Somatikk (SOM)";"Alle aktører";"Landet";"1575176";"230917";"1258898";"303886";"3242008";"258986";""
"2023";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"897413";"127941";"695684";"168741";"1847003";"148925";""
"2023";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Vest";"318270";"48382";"247393";"63809";"649031";"42913";""
"2023";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"219193";"32086";"182593";"41937";"473899";"38128";""
"2023";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Nord";"140779";"22556";"133228";"29399";"272075";"29020";""
"2023";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1711512";"410418";"2464052";"597062";"4384030";"492268";""
"2023";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"933229";"227469";"1360310";"331348";"2362812";"283664";""
"2023";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"357809";"86067";"486075";"125226";"917212";"80354";""
"2023";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"249771";"56990";"356009";"82410";"686398";"72869";""
"2023";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"172677";"40052";"261658";"58078";"417608";"55381";""
"2023";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Landet";"854123";"0";"0";"0";"1657260";"0";""
"2023";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"543724";"0";"0";"0";"1080671";"0";""
"2023";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"159326";"0";"0";"0";"290168";"0";""
"2023";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"102806";"0";"0";"0";"196853";"0";""
"2023";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"48593";"0";"0";"0";"89568";"0";""
"2023";"januar-august";"Somatikk (SOM)";"Alle aktører";"Landet";"2184091";"410418";"2464052";"597062";"6041290";"492268";""
"2023";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1245099";"227469";"1360310";"331348";"3443483";"283664";""
"2023";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Vest";"442697";"86067";"486075";"125226";"1207380";"80354";""
"2023";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"302097";"56990";"356009";"82410";"883251";"72869";""
"2023";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Nord";"196664";"40052";"261658";"58078";"507176";"55381";""
"2023";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"2129220";"579467";"3734708";"904182";"6684863";"752067";""
"2023";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"1165788";"321201";"2057400";"500944";"3601274";"432194";""
"2023";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"445220";"121365";"737012";"189517";"1399894";"122741";""
"2023";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"309695";"80742";"539040";"125079";"1047224";"113317";""
"2023";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"213094";"56544";"401256";"88642";"636471";"83815";""
"2023";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Landet";"1119423";"0";"0";"0";"2540293";"0";""
"2023";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"707790";"0";"0";"0";"1657474";"0";""
"2023";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"210570";"0";"0";"0";"443192";"0";""
"2023";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"135790";"0";"0";"0";"299178";"0";""
"2023";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"66076";"0";"0";"0";"140449";"0";""
"2023";"hele året";"Somatikk (SOM)";"Alle aktører";"Landet";"2659384";"579467";"3734708";"904182";"9225156";"752067";""
"2023";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1516565";"321201";"2057400";"500944";"5258748";"432194";""
"2023";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Vest";"540559";"121365";"737012";"189517";"1843086";"122741";""
"2023";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"368010";"80742";"539040";"125079";"1346402";"113317";""
"2023";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Nord";"240041";"56544";"401256";"88642";"776920";"83815";""
"2024";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1223730";"232265";"1258192";"305424";"2372314";"262042";""
"2024";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"664729";"128274";"693499";"169304";"1271059";"151177";""
"2024";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"255660";"49073";"251083";"64341";"504838";"43444";""
"2024";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"179902";"32107";"180985";"41732";"367556";"37269";""
"2024";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"123831";"22841";"132625";"30047";"228861";"30152";""
"2024";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Landet";"563806";"0";"0";"0";"940711";"0";""
"2024";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"363158";"0";"0";"0";"617253";"0";""
"2024";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"104360";"0";"0";"0";"166061";"0";""
"2024";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"65808";"0";"0";"0";"107187";"0";""
"2024";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"30540";"0";"0";"0";"50210";"0";""
"2024";"januar-april";"Somatikk (SOM)";"Alle aktører";"Landet";"1592575";"232265";"1258192";"305424";"3313025";"262042";""
"2024";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"907295";"128274";"693499";"169304";"1888312";"151177";""
"2024";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Vest";"322428";"49073";"251083";"64341";"670899";"43444";""
"2024";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"220942";"32107";"180985";"41732";"474743";"37269";""
"2024";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Nord";"142387";"22841";"132625";"30047";"279071";"30152";""
"2024";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1733390";"412396";"2428909";"597526";"4435671";"490359";""
"2024";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"949719";"228362";"1344989";"331640";"2396475";"284145";""
"2024";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"361575";"86838";"481513";"125371";"937638";"81386";""
"2024";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"249619";"57241";"347922";"82071";"676562";"67397";""
"2024";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"174365";"40102";"254485";"58444";"424996";"57431";""
"2024";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Landet";"856715";"0";"0";"0";"1694259";"0";""
"2024";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"550036";"0";"0";"0";"1117862";"0";""
"2024";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"158369";"0";"0";"0";"295833";"0";""
"2024";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"101038";"0";"0";"0";"192056";"0";""
"2024";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"47637";"0";"0";"0";"88508";"0";""
"2024";"januar-august";"Somatikk (SOM)";"Alle aktører";"Landet";"2199089";"412396";"2428909";"597526";"6129930";"490359";""
"2024";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1257700";"228362";"1344989";"331640";"3514337";"284145";""
"2024";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Vest";"445044";"86838";"481513";"125371";"1233471";"81386";""
"2024";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"301347";"57241";"347922";"82071";"868618";"67397";""
"2024";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Nord";"197381";"40102";"254485";"58444";"513504";"57431";""
"2024";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"2159626";"582825";"3677218";"903647";"6799840";"750787";""
"2024";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"1187651";"322780";"2036935";"500479";"3671090";"435346";""
"2024";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"451397";"122529";"723222";"189267";"1442704";"123379";""
"2024";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"309834";"81129";"526416";"124784";"1035727";"105561";""
"2024";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"215124";"56724";"390645";"89117";"650319";"86501";""
"2024";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Landet";"1135148";"0";"0";"0";"2640699";"0";""
"2024";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"723539";"0";"0";"0";"1741450";"0";""
"2024";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"211575";"0";"0";"0";"458914";"0";""
"2024";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"136408";"0";"0";"0";"300481";"0";""
"2024";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"64538";"0";"0";"0";"139854";"0";""
"2024";"hele året";"Somatikk (SOM)";"Alle aktører";"Landet";"2688657";"582825";"3677218";"903647";"9440539";"750787";""
"2024";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1538152";"322780";"2036935";"500479";"5412540";"435346";""
"2024";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Vest";"545972";"122529";"723222";"189267";"1901618";"123379";""
"2024";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"369406";"81129";"526416";"124784";"1336208";"105561";""
"2024";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Nord";"240724";"56724";"390645";"89117";"790173";"86501";""
"2025";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1263755";"233139";"1218245";"305321";"2454134";"263928";""
"2025";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"687936";"127817";"665315";"167553";"1321703";"152905";""
"2025";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"264439";"49046";"239628";"64022";"525600";"41772";""
"2025";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"183175";"32929";"178161";"43024";"368278";"40087";""
"2025";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"128591";"23380";"135141";"30722";"238553";"29164";""
"2025";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Landet";"604755";"0";"0";"0";"1009603";"0";""
"2025";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"392028";"0";"0";"0";"667030";"0";""
"2025";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"108934";"0";"0";"0";"171506";"0";""
"2025";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"70606";"0";"0";"0";"115984";"0";""
"2025";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"33263";"0";"0";"0";"55083";"0";""
"2025";"januar-april";"Somatikk (SOM)";"Alle aktører";"Landet";"1654620";"233139";"1218245";"305321";"3463737";"263928";""
"2025";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"946446";"127817";"665315";"167553";"1988733";"152905";""
"2025";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Vest";"333149";"49046";"239628";"64022";"697106";"41772";""
"2025";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"226943";"32929";"178161";"43024";"484262";"40087";""
"2025";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Nord";"148576";"23380";"135141";"30722";"293636";"29164";""
"2025";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1771954";"415939";"2369587";"600906";"4581425";"494697";""
"2025";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"969104";"229285";"1297280";"330900";"2472710";"288902";""
"2025";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"370353";"87482";"466898";"126009";"977201";"75720";""
"2025";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"253964";"58555";"344031";"84387";"682982";"74496";""
"2025";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"180450";"40748";"261378";"59610";"448532";"55579";""
"2025";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Landet";"914432";"0";"0";"0";"1818076";"0";""
"2025";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"588348";"0";"0";"0";"1202627";"0";""
"2025";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"168058";"0";"0";"0";"311332";"0";""
"2025";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"108080";"0";"0";"0";"209983";"0";""
"2025";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"50321";"0";"0";"0";"94134";"0";""
"2025";"januar-august";"Somatikk (SOM)";"Alle aktører";"Landet";"2262292";"415939";"2369587";"600906";"6399501";"494697";""
"2025";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1293497";"229285";"1297280";"330900";"3675337";"288902";""
"2025";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Vest";"458123";"87482";"466898";"126009";"1288533";"75720";""
"2025";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"308860";"58555";"344031";"84387";"892965";"74496";""
"2025";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Nord";"204283";"40748";"261378";"59610";"542666";"55579";""
"2025";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"2190380";"587451";"3595582";"909680";"7008282";"760818";""
"2025";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"1202925";"325036";"1978140";"503434";"3781949";"445161";""
"2025";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"459769";"123304";"702362";"189572";"1495687";"115608";""
"2025";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"312196";"82289";"521920";"126933";"1046602";"115576";""
"2025";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"219978";"57155";"393160";"89741";"684044";"84473";""
"2025";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Landet";"1200059";"0";"0";"0";"2811662";"0";""
"2025";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"768031";"0";"0";"0";"1860457";"0";""
"2025";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"222191";"0";"0";"0";"481307";"0";""
"2025";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"143175";"0";"0";"0";"323753";"0";""
