"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall kontakter i poliklinikk";"FLAGG"
"2019";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"1994";"764";"42081";"15366";""
"2019";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"33374";"8935";"603770";"609462";""
"2019";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"21082";"5216";"360110";"335143";""
"2019";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"6732";"1659";"112919";"202021";""
"2019";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"3404";"1130";"63992";"49115";""
"2019";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"2380";"966";"66749";"23183";""
"2020";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"23548";"4762";"196444";"208772";""
"2020";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"14725";"2771";"120098";"114849";""
"2020";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"4996";"841";"33802";"66457";""
"2020";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2288";"610";"20835";"18867";""
"2020";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"1600";"545";"21709";"8599";""
"2020";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"28036";"6913";"386998";"390443";""
"2020";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"17613";"4044";"236996";"213531";""
"2020";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"5802";"1252";"68134";"125143";""
"2020";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2805";"908";"40932";"35589";""
"2020";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"1983";"732";"40936";"16180";""
"2020";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"32763";"8824";"592085";"600182";""
"2020";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"20615";"5246";"362965";"331361";""
"2020";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"6646";"1557";"104710";"188395";""
"2020";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"3370";"1143";"62904";"55895";""
"2020";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"2380";"916";"61506";"24531";""
