"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall kontakter i poliklinikk";"FLAGG"
"2017";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"195248";"26888";"1063421";"2514072";""
"2017";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"111625";"14470";"580401";"1510332";""
"2017";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"39643";"5740";"242643";"479622";""
"2017";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"27150";"3718";"126288";"328196";""
"2017";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Nord";"17922";"3052";"114089";"195922";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"96955";"13394";"356350";"639232";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"52029";"7126";"192374";"360204";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"19502";"2880";"83058";"125818";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"15409";"1789";"41936";"95413";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Nord";"10182";"1621";"38982";"57797";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Landet";"35309";"0";"0";"229117";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Sør-Øst";"22707";"0";"0";"155888";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Vest";"8074";"0";"0";"44854";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Midt-Norge";"2756";"0";"0";"16108";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Nord";"1794";"0";"0";"12267";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"129838";"13394";"356350";"868349";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"73178";"7126";"192374";"516092";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"27080";"2880";"83058";"170672";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"17908";"1789";"41936";"111521";""
"2018";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Nord";"11862";"1621";"38982";"70064";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"124234";"20421";"694596";"1182718";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"67378";"11046";"380102";"671609";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"24732";"4347";"161192";"232320";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"19630";"2714";"80368";"174804";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Nord";"13019";"2365";"72934";"103985";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Landet";"43748";"0";"0";"412387";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Sør-Øst";"27982";"0";"0";"280272";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Vest";"10073";"0";"0";"80773";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Midt-Norge";"3527";"0";"0";"29421";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Nord";"2237";"0";"0";"21921";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"163491";"20421";"694596";"1595105";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"92487";"11046";"380102";"951881";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"33897";"4347";"161192";"313093";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"22688";"2714";"80368";"204225";""
"2018";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Nord";"15028";"2365";"72934";"125906";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"150731";"27061";"1057197";"1812434";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"82577";"14715";"581046";"1033679";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"29795";"5711";"242769";"353456";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"23634";"3580";"122326";"266178";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Nord";"15665";"3150";"111056";"159121";""
